"postId","shortCode","text","timestamp","ownerId","ownerIsVerified","ownerUsername","postUrl"
,,"BRING IN @samsurridge 🗣️🗣️‼️","2023-07-25T17:01:36.000Z",,,"jakethompson2026forward","https://www.instagram.com/p/CvIL8gssH54/"
,,"About time","2023-07-25T17:02:30.000Z",,,"little_shutt","https://www.instagram.com/p/CvIL8gssH54/"
,,"Can I share it, inbox please💌💖","2023-07-25T17:05:02.000Z",,,"texas_.life","https://www.instagram.com/p/CvIL8gssH54/"
,,"HERE WE GOOOOO","2023-07-25T17:07:29.000Z",,,"saucinkash","https://www.instagram.com/p/CvIL8gssH54/"
,,"SAM SURRIDGEEEEE","2023-07-25T17:07:56.000Z",,,"c.woulfe.04","https://www.instagram.com/p/CvIL8gssH54/"
,,"LETS GO","2023-07-25T17:08:54.000Z",,,"ftpaolo","https://www.instagram.com/p/CvIL8gssH54/"
,,"welcome @samsurridge","2023-07-25T17:11:05.000Z",,,"cancholaaaaa","https://www.instagram.com/p/CvIL8gssH54/"
,,"ayyyoooooo","2023-07-25T17:11:55.000Z",,,"colin_keegan","https://www.instagram.com/p/CvIL8gssH54/"
,,"🌊9️⃣🌊","2023-07-25T17:13:25.000Z",,,"soccermoses","https://www.instagram.com/p/CvIL8gssH54/"
,,"👏","2023-07-25T17:18:04.000Z",,,"edwahlberg","https://www.instagram.com/p/CvIL8gssH54/"
,,"BIG SAM INCOMING","2023-07-25T17:18:33.000Z",,,"donthasslethehof31","https://www.instagram.com/p/CvIL8gssH54/"
,,"WHAT ARE WE COOKING ⁉️","2023-07-25T17:22:38.000Z",,,"officialjuangodinez","https://www.instagram.com/p/CvIL8gssH54/"
,,"This is great !!","2023-07-25T17:23:57.000Z",,,"troywisneski11","https://www.instagram.com/p/CvIL8gssH54/"
,,"❤️❤️❤️","2023-07-25T17:24:00.000Z",,,"407marketing","https://www.instagram.com/p/CvIL8gssH54/"
,,"SAMMMMMMM","2023-07-25T17:26:04.000Z",,,"jamesxburnett","https://www.instagram.com/p/CvIL8gssH54/"
,,"SURRIDGE INCOMING","2023-07-25T17:27:18.000Z",,,"noahstroganoff","https://www.instagram.com/p/CvIL8gssH54/"
,,"Thank God we won’t see bunbury take the pitch again","2023-07-25T17:35:28.000Z",,,"calebsofly_","https://www.instagram.com/p/CvIL8gssH54/"
,,"SUPER SAM","2023-07-25T17:36:24.000Z",,,"spearmantabitha","https://www.instagram.com/p/CvIL8gssH54/"
,,"FROM THE FOREST TO THE CASTLE!!! SAMMYYY","2023-07-25T17:36:27.000Z",,,"jaymerricks","https://www.instagram.com/p/CvIL8gssH54/"
,,"Come On You Boys In Gold… announcing a #9!?","2023-07-25T17:39:47.000Z",,,"laughrelaxlive","https://www.instagram.com/p/CvIL8gssH54/"
,,"Super Sam, Super Sam, Super Sam, Super Sam Surrrrridge!!!!","2023-07-25T17:41:31.000Z",,,"josephjeffers","https://www.instagram.com/p/CvIL8gssH54/"
,,"Welcome to Nashville Sam","2023-07-25T17:47:45.000Z",,,"justinszychowski","https://www.instagram.com/p/CvIL8gssH54/"
,,"I see the Forest through the trees!! #premierleague @nashvillesc 🔥🔥🔥👏👏","2023-07-25T18:02:24.000Z",,,"brigittebediyoga","https://www.instagram.com/p/CvIL8gssH54/"
,,"What’s happening?","2023-07-25T18:06:21.000Z",,,"e.gad02","https://www.instagram.com/p/CvIL8gssH54/"
,,"@calebsofly_ bruh. I’m not super familiar with nsc as a club. I watched the Philly match and was losing my mind over how he got minutes. Spent most the 90 walking around and being out of position. 😂","2023-07-25T18:07:35.000Z",,,"caeldoeseverything","https://www.instagram.com/p/CvIL8gssH54/"
,,"We love you you soccer Moses!","2023-07-25T18:15:43.000Z",,,"ak.padron","https://www.instagram.com/p/CvIL8gssH54/"
,,"SUPER, SUPER SAM SURRIDGE","2023-07-25T18:29:11.000Z",,,"calebthomas05","https://www.instagram.com/p/CvIL8gssH54/"
,,"BRING IT ON","2023-07-25T18:29:23.000Z",,,"calebthomas05","https://www.instagram.com/p/CvIL8gssH54/"
,,"","2023-07-25T18:32:08.000Z",,,"jldsoccer610","https://www.instagram.com/p/CvIL8gssH54/"
,,"Announce Harry Kane","2023-07-25T18:33:54.000Z",,,"coach__dom","https://www.instagram.com/p/CvIL8gssH54/"
,,"PRANK EM JOHN","2023-07-25T18:41:32.000Z",,,"aaronsaidwhat","https://www.instagram.com/p/CvIL8gssH54/"
,,"“Did I catch a niner in there?”","2023-07-25T18:45:34.000Z",,,"chelseabastoky","https://www.instagram.com/p/CvIL8gssH54/"
,,"@e.gad02 new signing of Sam Surridge as our number 9 striker position from Nottingham Forest.","2023-07-25T19:01:03.000Z",,,"fozznaut","https://www.instagram.com/p/CvIL8gssH54/"
,,"who?","2023-07-25T19:03:07.000Z",,,"aeserna","https://www.instagram.com/p/CvIL8gssH54/"
,,"@calebsofly_ don’t forget Thursday he will probably start again 😂😂","2023-07-25T21:07:48.000Z",,,"saucinkash","https://www.instagram.com/p/CvIL8gssH54/"
,,"Messi who?","2023-07-25T22:15:54.000Z",,,"payton_culpepper","https://www.instagram.com/p/CvIL8gssH54/"
,,"😂","2023-07-28T01:25:54.000Z",,,"miss_u_2_lou","https://www.instagram.com/p/CvIL8gssH54/"
,,"🔥","2023-07-24T17:37:30.000Z",,,"christian_dib9","https://www.instagram.com/p/CvFptB0uCXK/"
,,"👏","2023-07-24T17:40:14.000Z",,,"rigofrvr","https://www.instagram.com/p/CvFptB0uCXK/"
,,"👏","2023-07-24T17:40:14.000Z",,,"rigofrvr","https://www.instagram.com/p/CvFptB0uCXK/"
,,"👏","2023-07-24T17:40:14.000Z",,,"rigofrvr","https://www.instagram.com/p/CvFptB0uCXK/"
