"postId","shortCode","text","timestamp","ownerId","ownerIsVerified","ownerUsername","postUrl"
,,"","2023-08-16T06:35:29.000Z",,,"loesantana","https://www.instagram.com/p/Cv_eI1BNf65/"
,,"Have fun before your losing against Messi 😁😁😁","2023-08-16T07:20:55.000Z",,,"athee97er.halboosi","https://www.instagram.com/p/Cv_eI1BNf65/"
,,"","2023-08-16T07:22:24.000Z",,,"athee97er.halboosi","https://www.instagram.com/p/Cv_eI1BNf65/"
,,"","2023-08-16T07:23:20.000Z",,,"athee97er.halboosi","https://www.instagram.com/p/Cv_eI1BNf65/"
,,"","2023-08-16T07:38:02.000Z",,,"lcmb13","https://www.instagram.com/p/Cv_eI1BNf65/"
,,"🇵🇦🇵🇦🇵🇦🇵🇦🇵🇦🇵🇦🇵🇦🇵🇦🇵🇦🇵🇦🇵🇦","2023-08-16T10:44:52.000Z",,,"jose_kneloo","https://www.instagram.com/p/Cv_eI1BNf65/"
,,"Why is he wearing a bra?","2023-08-16T11:03:38.000Z",,,"henrik_hammar_","https://www.instagram.com/p/Cv_eI1BNf65/"
,,"Salsa ⚽🇵🇦⚽","2023-08-16T11:34:38.000Z",,,"rafalopez507","https://www.instagram.com/p/Cv_eI1BNf65/"
,,"","2023-08-16T11:35:10.000Z",,,"rafalopez507","https://www.instagram.com/p/Cv_eI1BNf65/"
,,"Messi akan hancurkan lawan dan bawa pulang piala 🏆❤️❤️","2023-08-16T11:58:05.000Z",,,"herirawa","https://www.instagram.com/p/Cv_eI1BNf65/"
,,"🔥","2023-08-16T12:06:07.000Z",,,"rleis26","https://www.instagram.com/p/Cv_eI1BNf65/"
,,"🔥🔥🔥","2023-08-16T12:16:26.000Z",,,"hclay40","https://www.instagram.com/p/Cv_eI1BNf65/"
,,"New rule: get beat and can’t handle it, post Messi meme. Got it.","2023-08-16T12:54:22.000Z",,,"readysteadykeith","https://www.instagram.com/p/Cv_eI1BNf65/"
,,"Divicio festejan el goat de Messi va ser el campeón 😍","2023-08-16T12:55:40.000Z",,,"daniel_arreaga6","https://www.instagram.com/p/Cv_eI1BNf65/"
,,"Tienen miedo","2023-08-16T13:28:06.000Z",,,"nahuel.flame","https://www.instagram.com/p/Cv_eI1BNf65/"
,,"Messi se lleva la copa porque todo está planeado queríamos un mexicano versus u-s-a u-s-a u-s-a u-s-a u-s-a","2023-08-16T13:31:39.000Z",,,"aracelyvegajuarez","https://www.instagram.com/p/Cv_eI1BNf65/"
,,"@fernaando.gz Bro i’m mexican but honestly nobody cares about America right now lol. Monterrey was our best representative alongside queretaro who actually played hard and tried. Valimos madres esta ves. Ya habrá otra chansa","2023-08-16T13:34:09.000Z",,,"egc.02","https://www.instagram.com/p/Cv_eI1BNf65/"
,,"😂😂😂😂😂😂","2023-08-16T13:57:59.000Z",,,"miguebanquez","https://www.instagram.com/p/Cv_eI1BNf65/"
,,"🔥🔥🔥🔥🔥","2023-08-16T14:12:30.000Z",,,"_christopherboyd_","https://www.instagram.com/p/Cv_eI1BNf65/"
,,"I Believe","2023-08-16T14:14:24.000Z",,,"jonthebeloved1","https://www.instagram.com/p/Cv_eI1BNf65/"
,,"Why the mls fans sing in Spanish I thought it was supposed to be an American league","2023-08-16T14:59:34.000Z",,,"ezoobt03","https://www.instagram.com/p/Cv_eI1BNf65/"
,,"🇵🇦🇵🇦🇵🇦🇵🇦","2023-08-16T15:23:55.000Z",,,"ledezma_jr7","https://www.instagram.com/p/Cv_eI1BNf65/"
,,"💛💛💛💛","2023-08-16T15:29:33.000Z",,,"happyames","https://www.instagram.com/p/Cv_eI1BNf65/"
,,"@fernaando.gz ahora dilo sin llorar mamon jajajaja payaso","2023-08-16T16:09:40.000Z",,,"jairo.a.vasquez18","https://www.instagram.com/p/Cv_eI1BNf65/"
,,"@jairo.a.vasquez18 mejor enséñame los papeles de migración completos a ver si es cierto que muy gringo ;)","2023-08-16T16:16:19.000Z",,,"fernaando.gz","https://www.instagram.com/p/Cv_eI1BNf65/"
,,"@fernaando.gz Vaya a rodar mamon. Pelame la verga primero.","2023-08-16T16:17:02.000Z",,,"jairo.a.vasquez18","https://www.instagram.com/p/Cv_eI1BNf65/"
,,"@fernaando.gz Por que te rompi el ano con mi banano.","2023-08-16T16:17:45.000Z",,,"jairo.a.vasquez18","https://www.instagram.com/p/Cv_eI1BNf65/"
,,"I have lived in Nashville for 17 years but I don’t see how Nashville FC gets thru Messin & Inter Miami.  They are razor sharp and…… well have the best player on the planet even @ 36 years of age.  Good luck! 🍀 ⚽️","2023-08-16T17:19:04.000Z",,,"alexm1014","https://www.instagram.com/p/Cv_eI1BNf65/"
,,"","2023-08-16T17:20:52.000Z",,,"alexm1014","https://www.instagram.com/p/Cv_eI1BNf65/"
,,"see @intermiamicf champion @leaguescup","2023-08-16T17:50:34.000Z",,,"jose_alberto_velasco_2004","https://www.instagram.com/p/Cv_eI1BNf65/"
