"postId","shortCode","text","timestamp","ownerId","ownerIsVerified","ownerUsername","postUrl"
,,"@hanymuk10 & @shaqmoore have been selected for Team of the Matchday 19 Starting XI. @jacobshaff & @daxmccarty make the TOTM Bench.","2023-06-19T18:07:49.000Z",,,"nashvillesc","https://www.instagram.com/p/CtrnEypPtBL/"
,,"Send pic on @tennessee_vibes","2023-06-19T18:08:43.000Z",,,"theraistar.03","https://www.instagram.com/p/CtrnEypPtBL/"
,,"","2023-06-19T18:08:54.000Z",,,"5starr_.jackson","https://www.instagram.com/p/CtrnEypPtBL/"
,,"The boys soundly defeated a good team too, not like they were playing a shit team like Vancouver. 🙌","2023-06-19T18:29:59.000Z",,,"mij.notrevlow","https://www.instagram.com/p/CtrnEypPtBL/"
,,"🔥🔥🔥🔥🔥","2023-06-19T20:18:18.000Z",,,"jalil_anibaba4","https://www.instagram.com/p/CtrnEypPtBL/"
,,"To be fair all St Louis’ good players were out","2023-06-19T22:04:25.000Z",,,"mag22004","https://www.instagram.com/p/CtrnEypPtBL/"
,,"@shaqmoore utterly destroying up and down the wing; @hanymuk10 spinning and dribbling through multiple defenders like they're standing still; @daxmccarty playing like a man half his age with superb field vision; and @jacobshaff closing 10 yard gaps and getting behind defenders before they've even turned around, leaving them no option but to foul.  What a fantastic evening of soccer!","2023-06-20T16:01:57.000Z",,,"jakemason423","https://www.instagram.com/p/CtrnEypPtBL/"
,,"That’s ok boys!!!!!❤️","2023-06-22T01:51:42.000Z",,,"ashley.crtv","https://www.instagram.com/p/Ctxjr1rATau/"
,,"Deleting my goddamn bastard comments so I can speak the truth","2023-06-22T01:51:45.000Z",,,"alicnkrnz","https://www.instagram.com/p/Ctxjr1rATau/"
,,"@lane_adam_ 2nd half showed that.  They played hard.  Just wasn’t their night.","2023-06-22T01:52:55.000Z",,,"ubmathis","https://www.instagram.com/p/Ctxjr1rATau/"
,,"@alakantti can’t even score","2023-06-22T01:54:20.000Z",,,"chrissie_heughan66","https://www.instagram.com/p/Ctxjr1rATau/"
,,"y’all…","2023-06-22T01:56:15.000Z",,,"abby.d777","https://www.instagram.com/p/Ctxjr1rATau/"
,,"not one to usually comment, but i have to say that first half was the worst half of soccer i’ve ever seen. turned it off. was honestly offended.","2023-06-22T01:58:22.000Z",,,"potterryanandrew","https://www.instagram.com/p/Ctxjr1rATau/"
,,"Probably shouldn’t have started the game playing defense with no offensive push at alllllllllll against a team that thrives at home 🤦🏼‍♂️ next time start the game like you started  the second half..","2023-06-22T01:58:53.000Z",,,"dylan_phillips_07","https://www.instagram.com/p/Ctxjr1rATau/"
,,"We good. One bad game with a lot of our stars not playing. UP THE BOYS IN GOLDDDD🆙","2023-06-22T01:59:22.000Z",,,"c.woulfe.04","https://www.instagram.com/p/Ctxjr1rATau/"
,,"@salvatore.offiziell wah wah we’re still second in the league","2023-06-22T01:59:29.000Z",,,"willcummings0418","https://www.instagram.com/p/Ctxjr1rATau/"
,,"Yall are the fakes fans ive ever seen","2023-06-22T02:00:32.000Z",,,"jase_stallings22","https://www.instagram.com/p/Ctxjr1rATau/"
,,"@ralph_hassenhutl Won't. They can but they decided not to score.","2023-06-22T02:00:45.000Z",,,"alakantti","https://www.instagram.com/p/Ctxjr1rATau/"
,,"We support through the good and the bad. Draw a line under this one and move on to the next. The boys in gold go again.","2023-06-22T02:02:14.000Z",,,"mrfinnjohnston","https://www.instagram.com/p/Ctxjr1rATau/"
,,"Some of y'all need to go to bed. It was one game, & they just came off of a super physical game on Saturday, traveled, etc. It will be okay.","2023-06-22T02:03:39.000Z",,,"mrselizabethejohnson","https://www.instagram.com/p/Ctxjr1rATau/"
,,"😢😢😢","2023-06-22T02:11:37.000Z",,,"almo212121","https://www.instagram.com/p/Ctxjr1rATau/"
,,"I lost 190€ cause no 2 goals number 10 Nashville so bad can’t even play a normal pass in 90 th minute clown","2023-06-22T02:19:41.000Z",,,"daniel_0711._","https://www.instagram.com/p/Ctxjr1rATau/"
,,"Tu","2023-06-22T02:22:38.000Z",,,"didivolei","https://www.instagram.com/p/Ctxjr1rATau/"
,,"NGUOY","2023-06-22T02:22:46.000Z",,,"sjadeporter","https://www.instagram.com/p/Ctxjr1rATau/"
,,"Time ruin do carai","2023-06-22T02:22:51.000Z",,,"didivolei","https://www.instagram.com/p/Ctxjr1rATau/"
,,"@daniel_0711._  betting 190 that we would, without Bunbury Fafa or Godoy, travel and beat a team that excels at home sounds like a wild decision","2023-06-22T02:23:53.000Z",,,"cctobrien","https://www.instagram.com/p/Ctxjr1rATau/"
,,"Still proud of our guys. Facts- Montreal has a brick wall defense, and even Hany the Great has observed how closely matched so many of the MLS teams are. If it’s not always a challenge, it’s not good fútbol ⚽️","2023-06-22T02:31:30.000Z",,,"abacus.hex","https://www.instagram.com/p/Ctxjr1rATau/"
,,"They played amazing on Sat and then traveled and had to play this game quick. 10 games unbeaten is amazing. Still love our Boys In Gold!!","2023-06-22T02:39:41.000Z",,,"sarabethtowne","https://www.instagram.com/p/Ctxjr1rATau/"
,,"Bunch of mothherfckkers","2023-06-22T02:46:08.000Z",,,"________ju___ju______","https://www.instagram.com/p/Ctxjr1rATau/"
,,"Hope you all lose something very important to you","2023-06-22T02:46:38.000Z",,,"________ju___ju______","https://www.instagram.com/p/Ctxjr1rATau/"
,,"Shaffelburg was drunk the whole game","2023-06-22T02:47:20.000Z",,,"cam.stricklin","https://www.instagram.com/p/Ctxjr1rATau/"
,,"@alicnkrnz And who are you?","2023-06-22T03:10:32.000Z",,,"txultrarunner","https://www.instagram.com/p/Ctxjr1rATau/"
,,"@jase_stallings22 it’s what happens when you do really well your first season and then do sub par the next couple. It shows who the true fans are when they win and lose.","2023-06-22T03:15:17.000Z",,,"italipinoo","https://www.instagram.com/p/Ctxjr1rATau/"
,,"I can’t believe the fan base turns on the team like this after 1 bad game. Tough game though, exposed some depth problems, but also unlucky game","2023-06-22T03:53:16.000Z",,,"kellen.johansen","https://www.instagram.com/p/Ctxjr1rATau/"
,,"NSC loses one game and y’all lost hope this team 🤦🏾‍♂️ they will bounce back","2023-06-22T03:59:55.000Z",,,"loesantana","https://www.instagram.com/p/Ctxjr1rATau/"
,,"🎶I will never give up… on you🎶

💛💙","2023-06-22T04:00:30.000Z",,,"alexwindings","https://www.instagram.com/p/Ctxjr1rATau/"
,,"@alicnkrnz wtf are you on about","2023-06-22T04:27:52.000Z",,,"danielstrong__","https://www.instagram.com/p/Ctxjr1rATau/"
,,"They lose one game and 50% of the fans turn against them? You don't even like sports, that's just being a bandwagonning loser. Support your team no matter what.","2023-06-22T05:42:15.000Z",,,"____m.i.c.h.a.e.l____","https://www.instagram.com/p/Ctxjr1rATau/"
,,"@loesantana this is the right attitude. Got to back the boys in gold no matter what. 👏","2023-06-22T05:48:45.000Z",,,"britishpike","https://www.instagram.com/p/Ctxjr1rATau/"
,,"@gibson_everett  thank you for the common sense here. Plus our record is 👌","2023-06-22T06:10:49.000Z",,,"chrisswannn","https://www.instagram.com/p/Ctxjr1rATau/"
,,"Lose or win, we love @nashvillesc! Move forward, boys!","2023-06-22T10:53:24.000Z",,,"jennjlobrum","https://www.instagram.com/p/Ctxjr1rATau/"
,,"All muyl’s fault!","2023-06-22T12:28:07.000Z",,,"wolfgangs06","https://www.instagram.com/p/Ctxjr1rATau/"
,,"@mateooparedes montreal is the best home team this season after Cincinnati. 6 clean sheets in a row tying an all time MLS record. So yeah ""losing to montreal"" on the road isn't that surprising.","2023-06-22T13:18:12.000Z",,,"boudreault_w","https://www.instagram.com/p/Ctxjr1rATau/"
,,"No biggie!","2023-06-22T14:20:52.000Z",,,"darrell.land","https://www.instagram.com/p/Ctxjr1rATau/"
,,"@cctobrien 2 goals in the match I bet over 1.5 goals in match the one that missing 47 minute a tap in you ………..","2023-06-22T16:14:49.000Z",,,"daniel_0711._","https://www.instagram.com/p/Ctxjr1rATau/"
,,"keep your head up boys. tough place to play","2023-06-22T17:12:29.000Z",,,"alexbabamtwo","https://www.instagram.com/p/Ctxjr1rATau/"
,,"if gary doesn't get shit for that game then ima lose it... wtf was that formation... yes lets just play 5 in the back cuz we have done that all season long... and why start washington & gregus for their debuts in the same game? such a mess","2023-06-22T19:57:22.000Z",,,"popwock","https://www.instagram.com/p/Ctxjr1rATau/"
,,"Still the 🐐 🐐","2023-06-22T20:15:33.000Z",,,"lljayl","https://www.instagram.com/p/Ctxjr1rATau/"
,,"@alakantti ref was clearly biased towards Nashville, still your team didn’t create any dangerous play","2023-06-23T01:31:50.000Z",,,"estebangzx","https://www.instagram.com/p/Ctxjr1rATau/"
,,"@italipinoo not even sub par though, 2nd in the league and 10 games unbeaten and ppl act this way over one loss🤦‍♂️","2023-06-23T01:35:40.000Z",,,"brycenbrown10","https://www.instagram.com/p/Ctxjr1rATau/"
,,"@brycenbrown10 because they’re fake fans that think Nashville is the best team in MLS. They don’t realize that Nashville does have its weaknesses. If they were to take Mukhtar and Zimm away, what would Nashville be? They need to buy a striker and have better depth.","2023-06-23T01:39:04.000Z",,,"italipinoo","https://www.instagram.com/p/Ctxjr1rATau/"
,,"@italipinoo you can think that Nashville is the best, but you gotta kinda be realistic at times.","2023-06-23T01:39:35.000Z",,,"italipinoo","https://www.instagram.com/p/Ctxjr1rATau/"
,,"@italipinoo it’s about supporting your club through thick and thin for me. Some people in Europe support their local club that has never won anything ever. MLS culture is still in its infancy","2023-06-23T01:40:58.000Z",,,"brycenbrown10","https://www.instagram.com/p/Ctxjr1rATau/"
,,"@estebangzx Not my team.","2023-06-23T02:27:46.000Z",,,"alakantti","https://www.instagram.com/p/Ctxjr1rATau/"
,,"@alicnkrnz what do you want to prove bruh🤣","2023-06-24T06:20:13.000Z",,,"zvx_jose","https://www.instagram.com/p/Ctxjr1rATau/"
,,"@_brandon.saavedra_ you are going to be so missed.","2023-06-24T09:08:41.000Z",,,"mrsmariams","https://www.instagram.com/p/Ctxjr1rATau/"
,,"Señor Leche","2023-06-21T01:24:19.000Z",,,"ofo.lth","https://www.instagram.com/p/Ctu9feYoLMf/"
,,"👏👏","2023-06-21T01:33:28.000Z",,,"rhondamaggard","https://www.instagram.com/p/Ctu9feYoLMf/"
,,"the milk man 🥛","2023-06-21T01:37:54.000Z",,,"juanjduenas2","https://www.instagram.com/p/Ctu9feYoLMf/"
,,"I agree","2023-06-21T01:40:10.000Z",,,"julie_a_hanger","https://www.instagram.com/p/Ctu9feYoLMf/"
,,"","2023-06-21T02:11:17.000Z",,,"c.woulfe.04","https://www.instagram.com/p/Ctu9feYoLMf/"
,,"💙💙","2023-06-21T03:11:58.000Z",,,"molly.pratl.161","https://www.instagram.com/p/Ctu9feYoLMf/"
,,"❤️","2023-06-21T11:51:42.000Z",,,"nashvillerv","https://www.instagram.com/p/Ctu9feYoLMf/"
,,"🥛","2023-06-21T14:33:42.000Z",,,"itsjustannemariesflowers","https://www.instagram.com/p/Ctu9feYoLMf/"
,,"So proud of you Jack!❤️","2023-06-21T14:50:08.000Z",,,"sandym075","https://www.instagram.com/p/Ctu9feYoLMf/"
,,"IU Hoosier Soccer!","2023-06-21T15:29:50.000Z",,,"ck1_2533","https://www.instagram.com/p/Ctu9feYoLMf/"
,,"Nashville is just something different, coming from someone who is really critical about saying things like this and watches almost every league in the world. It's rare to see this passion and this type of club in these days. I guess that this fan owned club really has a chance of becoming mls Champion this year💪🏻","2023-06-18T03:43:31.000Z",,,"sennadentoom","https://www.instagram.com/p/CtneQXdMws8/"
,,"Let’s keep it going!!! 🔥🔥","2023-06-18T03:43:33.000Z",,,"jack_hoeks11","https://www.instagram.com/p/CtneQXdMws8/"
,,"","2023-06-18T03:58:43.000Z",,,"c.woulfe.04","https://www.instagram.com/p/CtneQXdMws8/"
,,"🔥🔥🔥 Keep going 🔥🔥, 🔥","2023-06-18T03:59:56.000Z",,,"thesullys","https://www.instagram.com/p/CtneQXdMws8/"
,,"🤠⚽️🎸🏰🍻","2023-06-18T04:00:16.000Z",,,"warmthfor","https://www.instagram.com/p/CtneQXdMws8/"
,,"From a sounders fan that's awesome @nashvillesc","2023-06-18T04:03:45.000Z",,,"mrtap11","https://www.instagram.com/p/CtneQXdMws8/"
,,"Great game to be at!!","2023-06-18T04:06:12.000Z",,,"cg3_92","https://www.instagram.com/p/CtneQXdMws8/"
,,"You see it!! 💪🏾😤","2023-06-18T04:30:10.000Z",,,"_antyque","https://www.instagram.com/p/CtneQXdMws8/"
,,"🔥","2023-06-18T05:15:12.000Z",,,"josiahsiska","https://www.instagram.com/p/CtneQXdMws8/"
,,"🔥🔥🔥🔥🔥🔥🔥🔥","2023-06-18T05:40:06.000Z",,,"_christopherboyd_","https://www.instagram.com/p/CtneQXdMws8/"
,,"Clubs been around for 10 minutes. There isn’t a thing as HISTORY yet.","2023-06-18T06:44:10.000Z",,,"itsalexlane","https://www.instagram.com/p/CtneQXdMws8/"
,,"@itsalexlane except for the history we're making🫡","2023-06-18T07:15:35.000Z",,,"instagraham2003","https://www.instagram.com/p/CtneQXdMws8/"
,,"@d.orlan 🔥","2023-06-18T07:22:05.000Z",,,"daniel8724","https://www.instagram.com/p/CtneQXdMws8/"
,,"Let’s gooooooo","2023-06-18T07:50:25.000Z",,,"bummerman","https://www.instagram.com/p/CtneQXdMws8/"
,,"Great game for my first time at Geodis. Looking forward to many more!","2023-06-18T13:19:45.000Z",,,"jasondekoff","https://www.instagram.com/p/CtneQXdMws8/"
,,"@itsalexlane Found the fun one lol","2023-06-18T13:29:15.000Z",,,"yakeeb_hardin747","https://www.instagram.com/p/CtneQXdMws8/"
,,"@yakeeb_hardin747 just facts. I’m a West Ham fan. We have history. You can’t have history in 1 season. Records yes. Not HISTORY","2023-06-18T13:45:10.000Z",,,"itsalexlane","https://www.instagram.com/p/CtneQXdMws8/"
,,"👏👏👏","2023-06-18T14:19:45.000Z",,,"whitneyrsimpson","https://www.instagram.com/p/CtneQXdMws8/"
,,"@itsalexlane no one asked who you supported, west ham just won their first trophy in 43 years, pipe down","2023-06-19T10:22:39.000Z",,,"blaucules","https://www.instagram.com/p/CtneQXdMws8/"
