"postId","shortCode","text","timestamp","ownerId","ownerIsVerified","ownerUsername","postUrl"
,,"#NSC #3PTS #CASTLE","2023-05-28T21:24:57.000Z",,,"strickland8249","https://www.instagram.com/p/CszTfg5A2Ah/"
,,"Pristine AF","2023-05-28T21:32:05.000Z",,,"joebartdrums","https://www.instagram.com/p/CszTfg5A2Ah/"
,,"@valeriatl_94 falta tu foto en este estadio","2023-05-28T22:04:50.000Z",,,"victorgilbertoruiz","https://www.instagram.com/p/CszTfg5A2Ah/"
,,"Just win the game","2023-05-28T22:30:07.000Z",,,"_rn4lkp_","https://www.instagram.com/p/CszTfg5A2Ah/"
,,"Too bad I'm not going to be available to go this match tonight, I'm gonna be watching the final  of the Mexican league  Chivas vs Tigres  Go Nashville sc and Go Chivas 🙌🙌🙌🔥🔥❤️❤️","2023-05-28T22:31:53.000Z",,,"nscfan1","https://www.instagram.com/p/CszTfg5A2Ah/"
,,"Vamo Nashville vamo 🟡⚫️","2023-05-28T22:57:17.000Z",,,"yurinasciment0_","https://www.instagram.com/p/CszTfg5A2Ah/"
,,"@yurinasciment0_ colocou na bet😂😂","2023-05-29T00:09:05.000Z",,,"faelgvc","https://www.instagram.com/p/CszTfg5A2Ah/"
,,"Tava pensando kkk ainda não fechei  o jogo","2023-05-29T00:52:16.000Z",,,"yurinasciment0_","https://www.instagram.com/p/CszTfg5A2Ah/"
,,"Bajingan!!!!","2023-05-29T01:51:52.000Z",,,"rizkiwahyujatikusuma","https://www.instagram.com/p/CszTfg5A2Ah/"
,,"Come on!!!!!!! Win 2-1","2023-05-29T01:52:11.000Z",,,"rizkiwahyujatikusuma","https://www.instagram.com/p/CszTfg5A2Ah/"
,,"Our castle is gorgeous!","2023-05-29T04:58:04.000Z",,,"karenokeefe1229","https://www.instagram.com/p/CszTfg5A2Ah/"
,,"@gervontaa","2023-06-18T14:36:59.000Z",,,"victornotmalo","https://www.instagram.com/p/CszTfg5A2Ah/"
,,"","2023-06-18T14:37:35.000Z",,,"victornotmalo","https://www.instagram.com/p/CszTfg5A2Ah/"
,,"","2023-06-18T14:38:07.000Z",,,"victornotmalo","https://www.instagram.com/p/CszTfg5A2Ah/"
,,"@augustomelooficial @neoquimicaarena aumento da capacidade ! Sou sócio ! Mas é muito difícil ainda conseguir ir 🔥","2023-08-20T03:41:01.000Z",,,"perucheos","https://www.instagram.com/p/CszTfg5A2Ah/"
,,"MUYL🙌🏻👏🏻🙌🏻👏🏻","2023-05-24T01:18:47.000Z",,,"cameronruthm","https://www.instagram.com/p/Csm2LGZPPx_/"
,,"Let him cook","2023-05-24T01:19:55.000Z",,,"bradenmitchellmusic","https://www.instagram.com/p/Csm2LGZPPx_/"
,,"Man those Miami seats are DEAD","2023-05-24T01:22:16.000Z",,,"john_olson04","https://www.instagram.com/p/Csm2LGZPPx_/"
,,"BOOM! 💯","2023-05-24T01:22:28.000Z",,,"tannergrandstaff","https://www.instagram.com/p/Csm2LGZPPx_/"
,,"why was the game suspended?","2023-05-24T01:23:53.000Z",,,"breno_.gs","https://www.instagram.com/p/Csm2LGZPPx_/"
,,"@breno_.gs weather delay","2023-05-24T01:25:06.000Z",,,"niabigaa","https://www.instagram.com/p/Csm2LGZPPx_/"
,,"@niabigaa will continue?","2023-05-24T01:30:46.000Z",,,"steven__simarmata","https://www.instagram.com/p/Csm2LGZPPx_/"
,,"@niabigaa will extend to another day?","2023-05-24T01:32:35.000Z",,,"breno_.gs","https://www.instagram.com/p/Csm2LGZPPx_/"
,,"@breno_.gs weather delay is over and about to resume 🙌","2023-05-24T01:38:50.000Z",,,"coolcubcarson","https://www.instagram.com/p/Csm2LGZPPx_/"
,,"Pissing away a trophy because you’re too stupid to play your best 11. Four wins from a cup. Treat it like a playoff game. Jesus Christ.","2023-05-24T01:48:43.000Z",,,"mtf015","https://www.instagram.com/p/Csm2LGZPPx_/"
,,"Come on boys! You got this!","2023-05-24T01:50:48.000Z",,,"jenna_rose_23","https://www.instagram.com/p/Csm2LGZPPx_/"
